,density,vpa,packing fraction,PymatgenData minimum boiling_point,PymatgenData mean boiling_point,PymatgenData maximum boiling_point,PymatgenData minimum molar_volume,PymatgenData mean molar_volume,PymatgenData maximum molar_volume,MagpieData minimum FirstIonizationEnergy,MagpieData mean FirstIonizationEnergy,MagpieData maximum FirstIonizationEnergy,holder_mean::0 Average bond length,holder_mean::0 Average bond angle,MagpieData mean SpaceGroupNumber,MagpieData minimum Number,MagpieData mean Number,MagpieData maximum Number,MagpieData minimum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData minimum MeltingT,MagpieData mean MeltingT,MagpieData maximum MeltingT,MagpieData minimum Column,MagpieData mean Column,MagpieData maximum Column,MagpieData minimum Row,MagpieData mean Row,MagpieData maximum Row,MagpieData minimum CovalentRadius,MagpieData mean CovalentRadius,MagpieData maximum CovalentRadius,MagpieData minimum Electronegativity,MagpieData mean Electronegativity,MagpieData maximum Electronegativity,MagpieData minimum NsValence,MagpieData mean NsValence,MagpieData maximum NsValence,MagpieData minimum NpValence,MagpieData mean NpValence,MagpieData maximum NpValence,MagpieData minimum NdValence,MagpieData mean NdValence,MagpieData maximum NdValence,MagpieData minimum NfValence,MagpieData mean NfValence,MagpieData maximum NfValence,MagpieData minimum GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData maximum GSvolume_pa,PymatgenData minimum block,PymatgenData mean block,PymatgenData maximum block,PymatgenData minimum atomic_mass,PymatgenData mean atomic_mass,PymatgenData maximum atomic_mass,PymatgenData minimum atomic_radius,PymatgenData mean atomic_radius,PymatgenData maximum atomic_radius,cohesive energy (MP)
0,3.80189301,21.72691529,0.387953093,717.87,1665.685,2792,10,12.8325,15.53,5.985768,8.5705045,10.36001,2.625208307,0.598538894,147.5,13,23,47,65,78.5,88,388.36,736.28,1234.93,11,14,16,3,3.5,5,105,119,145,1.61,2.175,2.58,1,1.75,2,0,2.25,4,0,2.5,10,0,0,0,16.33,21.0959375,25.786875,2,2.25,3,26.9815386,49.74493465,107.8682,1,1.2125,1.6,4.217685143
1,5.137259666,31.5193737,0.383308665,1261,1937.25,2792,10,15.2975,20.46,5.985768,7.8952995,9.0096,2.948944472,0.572436147,188.5,13,41,52,65,79.5,90,722.66,903.43,1234.93,11,14,16,3,4.5,5,121,135.5,145,1.61,1.935,2.1,1,1.75,2,0,2.25,4,0,7.5,10,0,0,0,16.33,25.58416667,34.76333333,2,2.25,3,26.9815386,97.51243465,127.6,1.25,1.4125,1.6,3.108393359
2,5.768634842,29.79222093,0.609545511,958,1865.833333,3743,10.27,20.01333333,38.16,5.211664,7.936994,9.75239,3.28143331,0.80036569,115,34,43.66666667,57,9,59,89,494,818.3216667,1234.93,2,10.66666667,16,4,4.833333333,6,120,154.5,215,0.89,1.928333333,2.55,1,1.833333333,2,0,2,4,0,6.833333333,10,0,0,0,16.33,32.42958333,63.59,1,2.166666667,3,78.96,103.4967783,138.90547,1.15,1.525,2.15,4.411820106
3,5.691307053,27.76562955,0.614236363,958,1843.5,3609,10.27,19.595,38.16,5.211664,8.043727333,9.75239,3.21798513,0.823063917,115,34,40.66666667,56,9,58.83333333,89,494,919.3216667,1799,2,10.66666667,16,4,4.666666667,6,120,151.6666667,215,0.89,1.948333333,2.55,1,1.833333333,2,0,2,4,0,6.833333333,10,0,0,0,16.33,31.67416667,63.59,1,2.166666667,3,78.96,95.16350833,137.327,1.15,1.5,2.15,4.354398652
4,5.987250761,33.13825349,0.591955347,1261,1995,3609,10.27,21.615,38.16,5.211664,7.672332333,9.0096,3.420556269,0.825829389,184,39,49.66666667,56,9,59.33333333,90,722.66,1033.651667,1799,2,10.66666667,16,5,5.166666667,6,138,160.6666667,215,0.89,1.723333333,2.1,1,1.833333333,2,0,2,4,0,6.833333333,10,0,0,0,16.33,36.09583333,63.59,1,2.166666667,3,88.90585,119.4835083,137.327,1.4,1.625,2.15,3.950687857
5,4.674343859,27.7801977,0.59741526,717.87,1492.185,2435,10.27,20.55875,38.16,5.211664,8.15324475,10.36001,3.100801736,0.680496534,137.75,16,34,56,9,63.75,88,388.36,652.265,1234.93,2,11.5,16,3,4.25,6,105,142.125,215,0.89,1.97625,2.58,1,1.875,2,0,2.125,4,0,2.5,10,0,0,0,16.33,33.8646875,63.59,1,1.875,3,32.065,78.200025,137.327,1,1.43125,2.15,4.307609645
6,4.546701253,24.22645373,0.383425287,717.87,1232.935,2477,10.27,13.77375,15.53,5.999301,9.125401375,10.36001,2.696298134,0.602197022,119.625,16,29.75,48,65,78.875,88,302.91,534.965,1234.93,11,14,16,3,3.875,5,105,121.875,145,1.69,2.18,2.58,1,1.875,2,0,2.125,4,0,5,10,0,0,0,16.33,22.165625,25.786875,2,2.375,3,32.065,66.33415,112.411,1,1.25,1.6,3.363735067
7,5.029493242,18.48850709,0.500701669,717.87,1703.685,2944,7.23,12.14,15.53,6.76651,8.76569,10.36001,2.69324072,0.833190674,148.5,16,25.75,47,49,72.5,88,388.36,1047.9125,2180,6,12.25,16,3,3.75,5,105,123.5,145,1.66,2.1875,2.58,1,1.5,2,0,2,4,0,3.75,10,0,0,0,11.19,19.7734375,25.786875,2,2.5,3,32.065,55.998575,107.8682,1,1.25,1.6,4.067605403
8,6.112507723,21.58251854,0.479468806,958,1823.75,2944,7.23,12.585,16.42,6.76651,8.46188,9.75239,2.826964469,0.840343132,120.5,24,34.75,47,49,73,89,494,1100.7325,2180,6,12.25,16,4,4.25,5,120,131,145,1.66,2.1725,2.55,1,1.5,2,0,2,4,5,8.75,10,0,0,0,11.19,19.84,25.92,2,2.5,3,51.9961,79.446075,107.8682,1.15,1.325,1.6,3.361733755
9,5.922079691,19.01838422,0.554762683,717.87,2117.623333,3200,7.11,10.97,15.53,7.57623,8.554206667,10.36001,2.712902693,0.850672685,173.3333333,16,30.66666667,47,64,72.33333333,88,388.36,993.6866667,1357.77,11,12.66666667,16,3,4,5,105,127.3333333,145,1.9,2.136666667,2.58,1,1.333333333,2,0,1.333333333,4,0,6.666666667,10,0,0,0,11.07,17.72895833,25.786875,2,2.666666667,3,32.065,67.8264,107.8682,1,1.316666667,1.6,3.405900697
10,5.642235632,16.76385742,0.552213379,717.87,1751.185,3134,7.09,12.105,15.53,7.57623,9.0496625,10.36001,2.615298262,0.850448689,148.5,16,26.25,47,55,74,88,388.36,955.6625,1811,8,12.75,16,3,3.75,5,105,121.75,145,1.83,2.23,2.58,1,1.75,2,0,2,4,0,4,10,0,0,0,10.73,19.6584375,25.786875,2,2.5,3,32.065,56.9608,107.8682,1,1.25,1.6,4.040434508
11,5.634391955,29.45974215,0.404468487,1261,2028,3134,7.09,14.76125,20.46,5.999301,8.177341375,9.0096,2.87900778,0.586120263,169.375,26,42.25,52,55,76.125,90,302.91,1006.31,1811,8,13,16,4,4.625,5,122,135.375,145,1.81,1.975,2.1,1,1.875,2,0,2.125,4,6,9,10,0,0,0,10.73,24.46260417,34.76333333,2,2.375,3,55.845,99.96015,127.6,1.3,1.4125,1.6,2.956955865
12,4.679015935,18.67631041,0.470397478,717.87,1809.435,3134,7.09,11.84,15.53,7.57623,9.076843333,10.36001,2.522726702,0.620212064,148.8333333,16,24.5,47,55,73.16666667,88,388.36,1003.668333,1811,8,12.5,16,3,3.666666667,5,105,120.6666667,145,1.83,2.221666667,2.58,1,1.833333333,2,0,2,4,0,3.666666667,10,0,0,0,10.73,19.19177083,25.786875,2,2.5,3,32.065,52.62553333,107.8682,1,1.233333333,1.6,4.311790923
13,4.517958693,22.21066653,0.391001741,717.87,1586.935,2477,10.27,13.2825,15.53,5.999301,8.57388775,10.36001,2.63992982,0.577407718,107.25,16,27.5,47,65,78.75,88,302.91,578.64,1234.93,11,14,16,3,3.75,5,105,119.25,145,1.81,2.225,2.58,1,1.75,2,0,2.25,4,0,5,10,0,0,0,16.33,21.6903125,25.786875,2,2.25,3,32.065,60.4303,107.8682,1,1.225,1.6,3.761494518
