formula,sg,kL,bulkmod,composition,density,vpa,packing fraction,PymatgenData minimum boiling_point,PymatgenData mean boiling_point,PymatgenData maximum boiling_point,PymatgenData minimum molar_volume,PymatgenData mean molar_volume,PymatgenData maximum molar_volume,MagpieData minimum FirstIonizationEnergy,MagpieData mean FirstIonizationEnergy,MagpieData maximum FirstIonizationEnergy,holder_mean::0 Average bond length,holder_mean::0 Average bond angle,MagpieData minimum Number,MagpieData maximum Number,MagpieData mean Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData mean MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData mean Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData mean Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData mean CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData mean Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData mean NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData mean NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData mean NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData mean NfValence,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData mean GSvolume_pa,PymatgenData minimum block,PymatgenData maximum block,PymatgenData mean block,PymatgenData minimum atomic_mass,PymatgenData maximum atomic_mass,PymatgenData mean atomic_mass,PymatgenData minimum atomic_radius,PymatgenData maximum atomic_radius,PymatgenData mean atomic_radius,cohesive energy (MP)
Ag1Al1S2,122,8.41,58.3,Ag1 Al1 S2,3.80189301,21.72691529,0.387953093,717.87,1665.685,2792,10,12.8325,15.53,5.985768,8.5705045,10.36001,2.625208307,0.598538894,13,47,23,65,88,78.5,388.36,1234.93,736.28,11,16,14,3,5,3.5,105,145,119,1.61,2.58,2.175,1,2,1.75,0,4,2.25,0,10,2.5,0,0,0,16.33,25.786875,21.0959375,2,3,2.25,26.9815386,107.8682,49.74493465,1,1.6,1.2125,4.217696011
Ag1Al1Te2,122,3.6,39.6,Ag1 Al1 Te2,5.137259666,31.5193737,0.383308665,1261,1937.25,2792,10,15.2975,20.46,5.985768,7.8952995,9.0096,2.948944472,0.572436147,13,52,41,65,90,79.5,722.66,1234.93,903.43,11,16,14,3,5,4.5,121,145,135.5,1.61,2.1,1.935,1,2,1.75,0,4,2.25,0,10,7.5,0,0,0,16.33,34.76333333,25.58416667,2,3,2.25,26.9815386,127.6,97.51243465,1.25,1.6,1.4125,3.10897583
Ag1Ba1La1Se3,63,1.51,35.9,Ag1 Ba1 La1 Se3,5.768634842,29.79222093,0.609545511,958,1865.833333,3743,10.27,20.01333333,38.16,5.211664,7.936994,9.75239,3.28143331,0.80036569,34,57,43.66666667,9,89,59,494,1234.93,818.3216667,2,16,10.66666667,4,6,4.833333333,120,215,154.5,0.89,2.55,1.928333333,1,2,1.833333333,0,4,2,0,10,6.833333333,0,0,0,16.33,63.59,32.42958333,1,3,2.166666667,78.96,138.90547,103.4967783,1.15,2.15,1.525,4.411821073
Ag1Ba1Se3Y1,63,1.91,40.6,Ag1 Ba1 Se3 Y1,5.691307053,27.76562955,0.614236363,958,1843.5,3609,10.27,19.595,38.16,5.211664,8.043727333,9.75239,3.21798513,0.823063917,34,56,40.66666667,9,89,58.83333333,494,1799,919.3216667,2,16,10.66666667,4,6,4.666666667,120,215,151.6666667,0.89,2.55,1.948333333,1,2,1.833333333,0,4,2,0,10,6.833333333,0,0,0,16.33,63.59,31.67416667,1,3,2.166666667,78.96,137.327,95.16350833,1.15,2.15,1.5,4.354401453
Ag1Ba1Te3Y1,63,1.48,36.1,Ag1 Ba1 Te3 Y1,5.987250761,33.13825349,0.591955347,1261,1995,3609,10.27,21.615,38.16,5.211664,7.672332333,9.0096,3.420556269,0.825829389,39,56,49.66666667,9,90,59.33333333,722.66,1799,1033.651667,2,16,10.66666667,5,6,5.166666667,138,215,160.6666667,0.89,2.1,1.723333333,1,2,1.833333333,0,4,2,0,10,6.833333333,0,0,0,16.33,63.59,36.09583333,1,3,2.166666667,88.90585,137.327,119.4835083,1.4,2.15,1.625,3.950690185
Ag1Ba2In1S4,14,1.5,34,Ag1 Ba2 In1 S4,4.674343859,27.7801977,0.59741526,717.87,1492.185,2435,10.27,20.55875,38.16,5.211664,8.15324475,10.36001,3.100801736,0.680496534,16,56,34,9,88,63.75,388.36,1234.93,652.265,2,16,11.5,3,6,4.25,105,215,142.125,0.89,2.58,1.97625,1,2,1.875,0,4,2.125,0,10,2.5,0,0,0,16.33,63.59,33.8646875,1,3,1.875,32.065,137.327,78.200025,1,2.15,1.43125,4.307609645
Ag1Cd2Ga1S4,31,4.03,53,Ag1 Cd2 Ga1 S4,4.546701253,24.22645373,0.383425287,717.87,1232.935,2477,10.27,13.77375,15.53,5.999301,9.125401375,10.36001,2.696298134,0.602197022,16,48,29.75,65,88,78.875,302.91,1234.93,534.965,11,16,14,3,5,3.875,105,145,121.875,1.69,2.58,2.18,1,2,1.875,0,4,2.125,0,10,5,0,0,0,16.33,25.786875,22.165625,2,3,2.375,32.065,112.411,66.33415,1,1.6,1.25,3.363755379
Ag1Cr1S2,160,7.26,68,Ag1 Cr1 S2,5.029493242,18.48850709,0.500701669,717.87,1703.685,2944,7.23,12.14,15.53,6.76651,8.76569,10.36001,2.69324072,0.833190674,16,47,25.75,49,88,72.5,388.36,2180,1047.9125,6,16,12.25,3,5,3.75,105,145,123.5,1.66,2.58,2.1875,1,2,1.5,0,4,2,0,10,3.75,0,0,0,11.19,25.786875,19.7734375,2,3,2.5,32.065,107.8682,55.998575,1,1.6,1.25,4.067605403
Ag1Cr1Se2,160,14.44,56,Ag1 Cr1 Se2,6.112507723,21.58251854,0.479468806,958,1823.75,2944,7.23,12.585,16.42,6.76651,8.46188,9.75239,2.826964469,0.840343132,24,47,34.75,49,89,73,494,2180,1100.7325,6,16,12.25,4,5,4.25,120,145,131,1.66,2.55,2.1725,1,2,1.5,0,4,2,5,10,8.75,0,0,0,11.19,25.92,19.84,2,3,2.5,51.9961,107.8682,79.446075,1.15,1.6,1.325,3.361737625
Ag1Cu1S1,26,1.2,17.4,Ag1 Cu1 S1,5.922079691,19.01838422,0.554762683,717.87,2117.623333,3200,7.11,10.97,15.53,7.57623,8.554206667,10.36001,2.712902693,0.850672685,16,47,30.66666667,64,88,72.33333333,388.36,1357.77,993.6866667,11,16,12.66666667,3,5,4,105,145,127.3333333,1.9,2.58,2.136666667,1,2,1.333333333,0,4,1.333333333,0,10,6.666666667,0,0,0,11.07,25.786875,17.72895833,2,3,2.666666667,32.065,107.8682,67.8264,1,1.6,1.316666667,3.405900697
